category,authors,title,year,journal,url
Growth Macro,"Klenow, Pete, Andres Rodriguez-Clare",The Neoclassical Revival in Growth Economics: Has It Gone Too Far?,1997,NBERMacro,https://www.nber.org/system/files/chapters/c11037/c11037.pdf
Growth Macro,"Mankiw, Greg, David Romer, David Weil",A Contribution to the Empirics of Economic Growth,1992,QJE,https://mankiw.scholars.harvard.edu/sites/g/files/omnuum5931/files/mankiw/files/contribution_to_the_empirics.pdf
Microeconomic Theory,"Diamond, Peter",A Model of Price Adjustment,1971,JET,https://cemi.ehess.fr/docannexe/file/2360/diamond.pdf
Microeconomic Theory,"Dixit, Avinash, Joseph Stiglitz",Monopolistic Competition and Optimum Product Diversity,1977,AER,https://www.jstor.org/stable/pdf/1831401.pdf?refreqid=fastly-default%3A894f2486653525df0f6c51fac35ee400&ab_segments=&initiator=&acceptTC=1
Microeconomic Theory,"Kamenica, Emir, Matthew Gentzkow",Bayesian Persuasion,2011,AER,https://web.stanford.edu/~gentzkow/research/BayesianPersuasion.pdf
Microeconomic Theory,"Perloff, Jeffrey, Steven Salop",Equilibrium with Product Differentiation,1985,REStud,https://www.jstor.org/stable/pdf/2297473.pdf
Trade,"Arkolakis, Costas, Arnaud Costinot, Andres Rodriguez-Clare","New Trade Models, Same Old Gains?",2012,AER,https://www.jstor.org/stable/pdf/41408770.pdf
Trade,"Arkolakis, Costas, Arnaud Costinot, Dave Donaldson, Andres Rodriguez-Clare",The Elusive Pro-Competitive Effects of Trade,2019,REStud,https://www.jstor.org/stable/pdf/26611507.pdf
Trade,"Bernhofen, Daniel, John Brown",An Empirical Assessment of the Comparative Advantage Gains from Trade: Evidence from Japan,2005,AER,https://www.jstor.org/stable/pdf/4132677.pdf
Trade,"Brander, James, Paul Krugman",A 'Reciprocal Dumping' Model of International Trade,1983,NBERWP,https://www.nber.org/system/files/working_papers/w1194/w1194.pdf
Trade,"Costinot, Arnaud",An Elementary Theory of Comparative Advantage,2009,ECTA,https://economics.mit.edu/sites/default/files/publications/ecta7636.pdf
Trade,"Deardoff, Alan",The General Validity of the Law of Comparative Advantage,1980,,https://www.jstor.org/stable/pdf/1833142.pdf
Trade,"Dornbusch, Rudiger, Stanley Fischer, Paul Samuelson","Comparative Advantage, Trade, and Payments in a Ricardian Model with a Continuum of Goods",1977,AER,https://users.econ.umn.edu/~tkehoe/papers/DFS_Ricardo.pdf
Trade,"Eaton, Jonathan, Samuel Kortum","Technology, Geography, and Trade",2002,ECTA,https://economics.yale.edu/sites/default/files/2024-02/Eaton-TechnologyGeographyTrade-2002.pdf
Trade,"Krugman, Paul","Increasing Returns, Monopolistic Competition, and International Trade",1979,JIntE,https://www.fpeckert.me/teaching/readings/KrugmanJIE79.pdf
Trade,"Krugman, Paul","Scale Economies, Product Differentiation, and the Pattern of Trade",1980,AER,https://www.princeton.edu/~pkrugman/scale_econ.pdf
Trade,"Krugman, Paul",Intraindustry Specialization and the Gains from Trade,1981,JPE,https://www.jstor.org/stable/pdf/1830815.pdf
Trade,"Melitz, Marc",The Impact of Trade on Intra-Industry Reallocations and Aggregate Industry Productivity,2003,ECTA,https://web.stanford.edu/~klenow/Melitz.pdf
Trade,"Melitz, Marc, Gianmarco Ottaviano","Market Size, Trade, and Productivity",2008,REStud,https://scholar.harvard.edu/files/melitz/files/melot_restud_final.pdf
Spatial,"Ahlfeldt, Gabriel, Stephen Redding, Daniel Sturm, Nikolaus Wolf",The Economics of Density: Evidence from the Berlin Wall,2015,ECTA,https://www.princeton.edu/~reddings/pubpapers/Berlin-Ecta-10876.pdf
Spatial,"Donaldson, Dave, Richard Hornbeck",Railroads and American Economic Growth: A 'Market Access' Approach,2016,QJE,https://dave-donaldson.com/wp-content/uploads/2016/10/Donaldson_Hornbeck_Railroads_paper.pdf
Spatial,"Donaldson, Dave",Railroads of the Raj: Estimating the Impact of Transportation Infrastructure,2018,AER,https://dave-donaldson.com/wp-content/uploads/2018/03/Donaldson_RRRaj_AER.pdf
Spatial,"Duranton, Gilles, Henry Overman",Testing for Localization Using Micro-Geographic Data,2005,REStud,https://www.jstor.org/stable/pdf/3700701.pdf
Spatial,"Ellison, Glenn, Edward Glaeser",Geographic Concentration in U.S. Manufacturing Industries: A Dartboard Approach,1997,JPE,https://www.jstor.org/stable/pdf/10.1086/262098.pdf
